,name,age,nationality,club,bp,position,weight,foot,joined,marking,total_stats,base_stats,a/w,d/w,pac,sho,pas,dri,def,phy,hits,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,ova,value_log,wage_log,release_clause_log
0,A. Pasche,26,Switzerland,FC Lausanne-Sport,CM,CM CDM,161.0,Right,"Jul 1, 2015",49,1682,357,High,Medium,69,51,63,63,51,60,3.0,58.0,58.0,58.0,61.0,62.0,62.0,62.0,61.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,59.0,59.0,59.0,59.0,59.0,58.0,54.0,54.0,54.0,58.0,15.0,64,5.720159303405957,3.6020599913279625,5.903632516084238
1,Alan Carvalho,30,China PR,Beijing Sinobo Guoan FC,ST,ST LW LM,159.0,Right,"Jan 16, 2015",35,1961,412,High,Low,83,75,68,82,33,71,44.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,76.0,76.0,76.0,76.0,68.0,68.0,68.0,76.0,57.0,53.0,53.0,53.0,57.0,53.0,48.0,48.0,48.0,53.0,18.0,77,7.929418925714293,4.361727836017593,0.0
2,S. Giovinco,33,Italy,Al Hilal,CAM,CAM CF,134.0,Right,"Jan 31, 2019",23,1925,404,High,Medium,80,77,78,86,27,56,73.0,73.0,73.0,73.0,80.0,79.0,79.0,79.0,80.0,80.0,80.0,80.0,79.0,74.0,74.0,74.0,79.0,59.0,56.0,56.0,56.0,59.0,53.0,41.0,41.0,41.0,53.0,12.0,80,6.954242509439325,4.690196080028514,8.1846914308176
3,J. Evans,22,Wales,Swansea City,CDM,CDM CM,152.0,Right,"Jul 1, 2016",55,1527,329,Medium,Medium,57,44,54,57,57,60,7.0,50.0,50.0,50.0,51.0,51.0,51.0,51.0,51.0,53.0,53.0,53.0,53.0,56.0,56.0,56.0,53.0,56.0,58.0,58.0,58.0,56.0,57.0,58.0,58.0,58.0,57.0,14.0,59,5.439332693830263,3.6020599913279625,5.841359470454855
4,Y. Demoncy,23,France,US Orléans Loiret Football,CDM,CDM CM,150.0,Right,"Jul 1, 2018",58,1664,360,Low,Medium,66,44,60,64,60,66,4.0,56.0,56.0,56.0,59.0,59.0,59.0,59.0,59.0,61.0,61.0,61.0,62.0,63.0,63.0,63.0,62.0,64.0,64.0,64.0,64.0,64.0,63.0,61.0,61.0,61.0,63.0,15.0,65,5.860338006570994,3.3010299956639813,7.146128035678238
5,Yu Hanchao,33,China PR,Shanghai Greenland Shenhua FC,LM,LM LW RW,154.0,Right,"Jul 18, 2020",31,1808,379,High,Low,74,63,70,71,37,64,6.0,67.0,67.0,67.0,70.0,69.0,69.0,69.0,70.0,70.0,70.0,70.0,70.0,66.0,66.0,66.0,70.0,58.0,55.0,55.0,55.0,58.0,55.0,49.0,49.0,49.0,55.0,19.0,71,7.146128035678238,4.041392685158225,7.342422680822207
6,M. Darmian,30,Italy,Parma,RB,RB LB,154.0,Right,"Sep 2, 2019",78,1923,410,Medium,High,67,58,67,73,77,68,49.0,66.0,66.0,66.0,68.0,67.0,67.0,67.0,68.0,68.0,68.0,68.0,69.0,70.0,70.0,70.0,69.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,15.0,76,6.778151250383644,4.447158031342219,8.03342375548695
7,N. Mosti,22,Italy,AC Monza,LM,CAM,161.0,Left,"Aug 2, 2019",41,1523,327,Medium,Medium,62,48,63,60,42,52,4.0,55.0,55.0,55.0,59.0,58.0,58.0,58.0,59.0,60.0,60.0,60.0,61.0,59.0,59.0,59.0,61.0,52.0,52.0,52.0,52.0,52.0,50.0,46.0,46.0,46.0,50.0,15.0,60,5.477121254719663,2.9030899869919438,5.732393759822968
8,M. Čovilo,34,Bosnia Herzegovina,FC Lugano,CB,CDM CB,192.0,Right,"Aug 30, 2018",58,1636,338,Medium,Medium,34,50,58,55,65,76,4.0,57.0,57.0,57.0,54.0,56.0,56.0,56.0,54.0,56.0,56.0,56.0,55.0,61.0,61.0,61.0,55.0,59.0,64.0,64.0,64.0,59.0,60.0,68.0,68.0,68.0,60.0,16.0,65,5.3222192947339195,3.3010299956639813,5.484299839346786
9,L. Grimi,35,Argentina,Club Atlético Huracán,CB,LB CB,163.0,Left,"Jan 27, 2020",68,1809,381,Medium,Medium,54,62,63,64,68,70,3.0,62.0,62.0,62.0,63.0,62.0,62.0,62.0,63.0,63.0,63.0,63.0,62.0,64.0,64.0,64.0,62.0,65.0,66.0,66.0,66.0,65.0,65.0,68.0,68.0,68.0,65.0,16.0,67,5.342422680822207,3.6020599913279625,5.503790683057181
10,A. Alcáraz,37,Paraguay,Olimpia Asunción,CB,CB,172.0,Right,"May 23, 2019",63,1619,337,Medium,Medium,37,43,49,62,71,75,4.0,57.0,57.0,57.0,54.0,56.0,56.0,56.0,54.0,55.0,55.0,55.0,54.0,57.0,57.0,57.0,54.0,64.0,64.0,64.0,64.0,64.0,65.0,72.0,72.0,72.0,65.0,18.0,72,5.795880017344075,2.6989700043360187,7.146128035678238
11,A. Trezza,21,Uruguay,Nacional de Montevideo,RM,LW,130.0,Right,"Jan 1, 2020",20,1542,339,High,Low,83,55,53,71,25,52,7.0,59.0,59.0,59.0,64.0,62.0,62.0,62.0,64.0,62.0,62.0,62.0,63.0,54.0,54.0,54.0,63.0,48.0,42.0,42.0,42.0,48.0,45.0,37.0,37.0,37.0,45.0,15.0,64,5.812913356642856,2.6989700043360187,7.204119982655925
12,M. Polster,27,United States,New England Revolution,CDM,RB CDM,170.0,Right,"Aug 12, 2020",67,1736,376,Medium,Medium,56,47,64,65,67,77,4.0,57.0,57.0,57.0,60.0,60.0,60.0,60.0,60.0,62.0,62.0,62.0,63.0,66.0,66.0,66.0,63.0,67.0,69.0,69.0,69.0,67.0,66.0,68.0,68.0,68.0,66.0,18.0,68,5.903089986991944,3.4771212547196626,7.079181246047625
13,A. Mozo,23,Mexico,U.N.A.M.,RB,RB,157.0,Right,"Jun 23, 2015",67,1784,396,Medium,Medium,78,44,60,69,68,77,87.0,58.0,58.0,58.0,63.0,60.0,60.0,60.0,63.0,61.0,61.0,61.0,66.0,62.0,62.0,62.0,66.0,71.0,69.0,69.0,69.0,71.0,71.0,69.0,69.0,69.0,71.0,16.0,73,6.698970004336019,3.9542425094393248,7.977723605288848
14,H. Gambor,17,France,Paris FC,CB,CB,165.0,Right,"Jun 28, 2020",49,1330,282,Medium,Medium,65,33,42,43,55,44,3.0,43.0,43.0,43.0,43.0,42.0,42.0,42.0,43.0,42.0,42.0,42.0,44.0,43.0,43.0,43.0,44.0,51.0,49.0,49.0,49.0,51.0,54.0,54.0,54.0,54.0,54.0,12.0,54,5.113943352306837,2.6989700043360187,5.489958479424835
15,V. Dávila,22,Chile,Pachuca,CAM,ST CAM,154.0,Left,"Jan 1, 2019",28,1715,360,High,Low,70,66,64,75,30,55,22.0,67.0,67.0,67.0,69.0,70.0,70.0,70.0,69.0,71.0,71.0,71.0,68.0,65.0,65.0,65.0,68.0,52.0,51.0,51.0,51.0,52.0,49.0,42.0,42.0,42.0,49.0,20.0,67,7.041392685158225,3.7781512503836434,7.3222192947339195
16,K. Müller,28,Germany,FC St. Pauli,GK,GK,198.0,Right,"Oct 8, 2019",18,1091,355,Medium,Medium,62,60,57,66,48,62,3.0,28.0,28.0,28.0,26.0,27.0,27.0,27.0,26.0,26.0,26.0,26.0,28.0,25.0,25.0,25.0,28.0,27.0,25.0,25.0,25.0,27.0,27.0,26.0,26.0,26.0,27.0,62.0,63,5.511883360978874,3.4771212547196626,5.7355988996981795
